table,field_name,dtype_or_storage_type,non_null_count,missing_count,semantic_role,unit,time_grain,allowed_transforms,missingness_rule,join_key_role,claim_use,verified_status
2015 load curve,jiangsu,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Jiangsu,China provincial hourly benchmark context,observed_in_sheet_header:Jiangsu|江苏
2015 load curve,jiangxi,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Jiangxi,China provincial hourly benchmark context,observed_in_sheet_header:Jiangxi|江西
2015 load curve,liaoning,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Liaoning,China provincial hourly benchmark context,observed_in_sheet_header:Liaoning|辽宁
2015 load curve,inner_mongolia,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Inner Mongolia,China provincial hourly benchmark context,observed_in_sheet_header:Inner Mongolia|内蒙古
2015 load curve,ningxia,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Ningxia,China provincial hourly benchmark context,observed_in_sheet_header:Ningxia|宁夏
2015 load curve,qinghai,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Qinghai,China provincial hourly benchmark context,observed_in_sheet_header:Qinghai|青海
2015 load curve,shaanxi,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Shaanxi,China provincial hourly benchmark context,observed_in_sheet_header:Shaanxi|陕西
2015 load curve,sichuan,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Sichuan,China provincial hourly benchmark context,observed_in_sheet_header:Sichuan|四川
2015 load curve,shandong,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Shandong,China provincial hourly benchmark context,observed_in_sheet_header:Shandong|山东
2015 load curve,shanghai,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Shanghai,China provincial hourly benchmark context,observed_in_sheet_header:Shanghai|上海
2015 load curve,shanxi,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Shanxi,China provincial hourly benchmark context,observed_in_sheet_header:Shanxi|山西
2015 load curve,tianjin,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Tianjin,China provincial hourly benchmark context,observed_in_sheet_header:Tianjin|天津
2015 load curve,xinjiang,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Xinjiang,China provincial hourly benchmark context,observed_in_sheet_header:Xinjiang|新疆
2015 load curve,tibet,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Tibet,China provincial hourly benchmark context,observed_in_sheet_header:Tibet|西藏
2015 load curve,yunnan,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Yunnan,China provincial hourly benchmark context,observed_in_sheet_header:Yunnan|云南
2015 load curve,zhejiang,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Zhejiang,China provincial hourly benchmark context,observed_in_sheet_header:Zhejiang|浙江
2016 load curve,timestamp,datetime64[ns],8784,0,hourly_timestamp,datetime_local_as_provided,hourly,hourly_coverage_audit|daily_peak|annual_sum|load_shape_summary,timestamps must remain explicit; do not invent missing hours,year_specific_time_index,China provincial hourly benchmark context,observed_in_sheet_header:Unit: GWh
2016 load curve,anhui,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Anhui,China provincial hourly benchmark context,observed_in_sheet_header:Anhui|安徽
2016 load curve,beijing,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Beijing,China provincial hourly benchmark context,observed_in_sheet_header:Beijing|北京
2016 load curve,chongqing,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Chongqing,China provincial hourly benchmark context,observed_in_sheet_header:Chongqing|重庆
2016 load curve,fujian,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Fujian,China provincial hourly benchmark context,observed_in_sheet_header:Fujian|福建
2016 load curve,guangdong,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Guangdong,China provincial hourly benchmark context,observed_in_sheet_header:Guangdong|广东
2016 load curve,gansu,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Gansu,China provincial hourly benchmark context,observed_in_sheet_header:Gansu|甘肃
2016 load curve,guangxi,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Guangxi,China provincial hourly benchmark context,observed_in_sheet_header:Guangxi|广西
2016 load curve,guizhou,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Guizhou,China provincial hourly benchmark context,observed_in_sheet_header:Guizhou|贵州
2016 load curve,hainan,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Hainan,China provincial hourly benchmark context,observed_in_sheet_header:Hainan|海南
2016 load curve,hebei,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Hebei,China provincial hourly benchmark context,observed_in_sheet_header:Hebei|河北
2016 load curve,henan,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Henan,China provincial hourly benchmark context,observed_in_sheet_header:Henan|河南
2016 load curve,heilongjiang,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Heilongjiang,China provincial hourly benchmark context,observed_in_sheet_header:Heilongjiang|黑龙江
2016 load curve,hunan,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Hunan,China provincial hourly benchmark context,observed_in_sheet_header:Hunan|湖南
2016 load curve,hubei,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Hubei,China provincial hourly benchmark context,observed_in_sheet_header:Hubei|湖北
2016 load curve,jilin,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Jilin,China provincial hourly benchmark context,observed_in_sheet_header:Jilin|吉林
2016 load curve,jiangsu,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Jiangsu,China provincial hourly benchmark context,observed_in_sheet_header:Jiangsu|江苏
2016 load curve,jiangxi,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Jiangxi,China provincial hourly benchmark context,observed_in_sheet_header:Jiangxi|江西
2016 load curve,liaoning,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Liaoning,China provincial hourly benchmark context,observed_in_sheet_header:Liaoning|辽宁
2016 load curve,inner_mongolia,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Inner Mongolia,China provincial hourly benchmark context,observed_in_sheet_header:Inner Mongolia|内蒙古
2016 load curve,ningxia,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Ningxia,China provincial hourly benchmark context,observed_in_sheet_header:Ningxia|宁夏
2016 load curve,qinghai,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Qinghai,China provincial hourly benchmark context,observed_in_sheet_header:Qinghai|青海
2016 load curve,shaanxi,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Shaanxi,China provincial hourly benchmark context,observed_in_sheet_header:Shaanxi|陕西
2016 load curve,sichuan,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Sichuan,China provincial hourly benchmark context,observed_in_sheet_header:Sichuan|四川
2016 load curve,shandong,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Shandong,China provincial hourly benchmark context,observed_in_sheet_header:Shandong|山东
2016 load curve,shanghai,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Shanghai,China provincial hourly benchmark context,observed_in_sheet_header:Shanghai|上海
2016 load curve,shanxi,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Shanxi,China provincial hourly benchmark context,observed_in_sheet_header:Shanxi|山西
2016 load curve,tianjin,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Tianjin,China provincial hourly benchmark context,observed_in_sheet_header:Tianjin|天津
2016 load curve,xinjiang,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Xinjiang,China provincial hourly benchmark context,observed_in_sheet_header:Xinjiang|新疆
2016 load curve,tibet,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Tibet,China provincial hourly benchmark context,observed_in_sheet_header:Tibet|西藏
2016 load curve,yunnan,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Yunnan,China provincial hourly benchmark context,observed_in_sheet_header:Yunnan|云南
2016 load curve,zhejiang,float64,8784,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Zhejiang,China provincial hourly benchmark context,observed_in_sheet_header:Zhejiang|浙江
2017 load curve,timestamp,datetime64[ns],8760,0,hourly_timestamp,datetime_local_as_provided,hourly,hourly_coverage_audit|daily_peak|annual_sum|load_shape_summary,timestamps must remain explicit; do not invent missing hours,year_specific_time_index,China provincial hourly benchmark context,observed_in_sheet_header:Unit: GWh
2017 load curve,anhui,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Anhui,China provincial hourly benchmark context,observed_in_sheet_header:Anhui|安徽
2017 load curve,beijing,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Beijing,China provincial hourly benchmark context,observed_in_sheet_header:Beijing|北京
2017 load curve,chongqing,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Chongqing,China provincial hourly benchmark context,observed_in_sheet_header:Chongqing|重庆
2017 load curve,fujian,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Fujian,China provincial hourly benchmark context,observed_in_sheet_header:Fujian|福建
2017 load curve,guangdong,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Guangdong,China provincial hourly benchmark context,observed_in_sheet_header:Guangdong|广东
2017 load curve,gansu,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Gansu,China provincial hourly benchmark context,observed_in_sheet_header:Gansu|甘肃
2017 load curve,guangxi,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Guangxi,China provincial hourly benchmark context,observed_in_sheet_header:Guangxi|广西
2017 load curve,guizhou,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Guizhou,China provincial hourly benchmark context,observed_in_sheet_header:Guizhou|贵州
2017 load curve,hainan,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Hainan,China provincial hourly benchmark context,observed_in_sheet_header:Hainan|海南
2017 load curve,hebei,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Hebei,China provincial hourly benchmark context,observed_in_sheet_header:Hebei|河北
2017 load curve,henan,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Henan,China provincial hourly benchmark context,observed_in_sheet_header:Henan|河南
2017 load curve,heilongjiang,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Heilongjiang,China provincial hourly benchmark context,observed_in_sheet_header:Heilongjiang|黑龙江
2017 load curve,hunan,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Hunan,China provincial hourly benchmark context,observed_in_sheet_header:Hunan|湖南
2017 load curve,hubei,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Hubei,China provincial hourly benchmark context,observed_in_sheet_header:Hubei|湖北
2017 load curve,jilin,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Jilin,China provincial hourly benchmark context,observed_in_sheet_header:Jilin|吉林
2017 load curve,jiangsu,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Jiangsu,China provincial hourly benchmark context,observed_in_sheet_header:Jiangsu|江苏
2017 load curve,jiangxi,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Jiangxi,China provincial hourly benchmark context,observed_in_sheet_header:Jiangxi|江西
2017 load curve,liaoning,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Liaoning,China provincial hourly benchmark context,observed_in_sheet_header:Liaoning|辽宁
2017 load curve,inner_mongolia,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Inner Mongolia,China provincial hourly benchmark context,observed_in_sheet_header:Inner Mongolia|内蒙古
2017 load curve,ningxia,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Ningxia,China provincial hourly benchmark context,observed_in_sheet_header:Ningxia|宁夏
2017 load curve,qinghai,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Qinghai,China provincial hourly benchmark context,observed_in_sheet_header:Qinghai|青海
2017 load curve,shaanxi,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Shaanxi,China provincial hourly benchmark context,observed_in_sheet_header:Shaanxi|陕西
2017 load curve,sichuan,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Sichuan,China provincial hourly benchmark context,observed_in_sheet_header:Sichuan|四川
2017 load curve,shandong,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Shandong,China provincial hourly benchmark context,observed_in_sheet_header:Shandong|山东
2017 load curve,shanghai,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Shanghai,China provincial hourly benchmark context,observed_in_sheet_header:Shanghai|上海
2017 load curve,shanxi,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Shanxi,China provincial hourly benchmark context,observed_in_sheet_header:Shanxi|山西
2017 load curve,tianjin,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Tianjin,China provincial hourly benchmark context,observed_in_sheet_header:Tianjin|天津
2017 load curve,xinjiang,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Xinjiang,China provincial hourly benchmark context,observed_in_sheet_header:Xinjiang|新疆
2017 load curve,tibet,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Tibet,China provincial hourly benchmark context,observed_in_sheet_header:Tibet|西藏
2017 load curve,yunnan,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Yunnan,China provincial hourly benchmark context,observed_in_sheet_header:Yunnan|云南
2017 load curve,zhejiang,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Zhejiang,China provincial hourly benchmark context,observed_in_sheet_header:Zhejiang|浙江
2018 load curve,timestamp,datetime64[ns],8760,0,hourly_timestamp,datetime_local_as_provided,hourly,hourly_coverage_audit|daily_peak|annual_sum|load_shape_summary,timestamps must remain explicit; do not invent missing hours,year_specific_time_index,China provincial hourly benchmark context,observed_in_sheet_header:Unit: GWh
2018 load curve,anhui,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Anhui,China provincial hourly benchmark context,observed_in_sheet_header:Anhui|安徽
2018 load curve,beijing,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Beijing,China provincial hourly benchmark context,observed_in_sheet_header:Beijing|北京
2018 load curve,chongqing,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Chongqing,China provincial hourly benchmark context,observed_in_sheet_header:Chongqing|重庆
2018 load curve,fujian,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Fujian,China provincial hourly benchmark context,observed_in_sheet_header:Fujian|福建
2018 load curve,guangdong,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Guangdong,China provincial hourly benchmark context,observed_in_sheet_header:Guangdong|广东
2018 load curve,gansu,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Gansu,China provincial hourly benchmark context,observed_in_sheet_header:Gansu|甘肃
2018 load curve,guangxi,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Guangxi,China provincial hourly benchmark context,observed_in_sheet_header:Guangxi|广西
2018 load curve,guizhou,float64,8760,0,province_hourly_total_load,GWh,hourly,annual_sum|peak_hour|shape_normalization|province_rank_summary,do not fill missing hourly provincial loads without explicit audit,province_name_std=Guizhou,China provincial hourly benchmark context,observed_in_sheet_header:Guizhou|贵州
