iso3,country,n_draws,token_origin_demand_p05,token_origin_demand_p50,token_origin_demand_p95,compute_execution_received_p05,compute_execution_received_p50,compute_execution_received_p95,displacement_index_p05,displacement_index_p50,displacement_index_p95,outsourcing_ratio_p05,outsourcing_ratio_p50,outsourcing_ratio_p95,electricity_twh_p05,electricity_twh_p50,electricity_twh_p95,direct_co2_mt_p05,direct_co2_mt_p50,direct_co2_mt_p95,role_envelope,claim_boundary
AZE,Azerbaijan,1000,0.0003832448591266,0.000806575467365,0.0017501453740349,0.0,0.0,0.0,-0.0017501453740349,-0.000806575467365,-0.0003832448591266,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BDI,Burundi,1000,4.984477314269645e-05,0.0001075839333731,0.000229219511929,0.0,0.0,0.0,-0.000229219511929,-0.0001075839333731,-4.984477314269647e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BEL,Belgium,1000,0.0014153351592532,0.0029568665480971,0.0067244003917549,0.0116842382519094,0.019351435229989,0.031449649550713,0.0080854116932659,0.0160714640062864,0.028289670477763,0.9479784250429724,0.9691478040498248,0.981760289737908,0.4115082330927801,0.8642060345637851,1.8212432261192144,0.0594368970086945,0.1281913413312975,0.2836202541889597,compute_importer_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BEN,Benin,1000,0.0002386756366766,0.0005157633145671,0.0011264559264745,0.0,0.0,0.0,-0.0011264559264745,-0.0005157633145671,-0.0002386756366766,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BFA,Burkina Faso,1000,0.0002591320877293,0.0005637596811654,0.00128077109861,0.0,0.0,0.0,-0.00128077109861,-0.0005637596811654,-0.0002591320877293,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BGD,Bangladesh,1000,0.0077247340700807,0.0119574176774407,0.0181622601798447,0.0,0.0,0.0,-0.0181622601798447,-0.0119574176774407,-0.0077247340700807,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BGR,Bulgaria,1000,0.0005921359437364,0.0012880582491458,0.0027904349538456,0.0,0.0,0.0,-0.0027904349538456,-0.0012880582491458,-0.0005921359437364,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BHR,Bahrain,1000,0.0001100867097378,0.0002285476319993,0.0005133903821723,0.0019787523577412,0.0032631882774802,0.005289470247042,0.0017286237852091,0.0029927615522045,0.0050503105391838,0.9864426911104724,0.9923892856437996,0.9955378165935304,0.0677393064675618,0.1450022735236138,0.3127053072750986,0.0596857016737552,0.1306670952015715,0.2869938534431568,compute_importer_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BHS,"Bahamas, The",1000,1.945621147004109e-05,4.202064482784405e-05,9.519452863360034e-05,0.0,0.0,0.0,-9.519452863360038e-05,-4.202064482784405e-05,-1.9456211470041092e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BIH,Bosnia and Herzegovina,1000,0.0001609771998064,0.0003351397836906,0.0007068296469853,0.0,0.0,0.0,-0.0007068296469853,-0.0003351397836906,-0.0001609771998064,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BLZ,Belize,1000,1.987170364003422e-05,4.346950841502922e-05,9.303546505990872e-05,0.0,0.0,0.0,-9.303546505990876e-05,-4.346950841502922e-05,-1.9871703640034226e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BMU,Bermuda,1000,5.570482828582463e-06,1.2107141270848733e-05,2.777828970086029e-05,0.0,0.0,0.0,-2.7778289700860293e-05,-1.2107141270848733e-05,-5.570482828582463e-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BOL,Bolivia,1000,0.0003796147088635,0.0008297278929256,0.0018514652481079,0.0,0.0,0.0,-0.0018514652481079,-0.0008297278929256,-0.0003796147088635,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BRA,Brazil,1000,0.0178160236414999,0.0275987481682754,0.0412550548114007,0.0145536995712924,0.0232836079007506,0.0387473232099341,-0.0209773123241991,-0.0040945731966648,0.0140649006059225,0.6406234208422211,0.8156041100641703,0.9107009042532216,0.5133718873066404,1.051989159031108,2.2221976037146525,0.054287437942814,0.1160932299578159,0.2467220625803231,uncertain_or_near_balanced,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BRB,Barbados,1000,1.777529473057255e-05,3.972664972810494e-05,8.328502468169964e-05,0.0,0.0,0.0,-8.328502468169964e-05,-3.972664972810494e-05,-1.777529473057255e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BRN,Brunei Darussalam,1000,2.564416047972544e-05,5.433952804976132e-05,0.0001163584574853,0.0,0.0,0.0,-0.0001163584574853,-5.433952804976132e-05,-2.564416047972544e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BTN,Bhutan,1000,3.8221089894939696e-05,8.396743834857486e-05,0.0001825516699445,0.0,0.0,0.0,-0.0001825516699445,-8.396743834857486e-05,-3.822108989493971e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
BWA,Botswana,1000,7.380481185139662e-05,0.0001641468179184,0.0003434920255947,0.0,0.0,0.0,-0.0003434920255947,-0.0001641468179184,-7.380481185139663e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
CAN,Canada,1000,0.0137897727661823,0.0188346081345067,0.0260390474326736,0.0154235026542432,0.0251091852140277,0.0411810509508223,-0.0063044031348091,0.006305352282187,0.0230903310736936,0.8274170236401878,0.9067803419261092,0.9503812472671712,0.5397468249395705,1.1346953098910126,2.2949698422688884,0.099001386414945,0.2186012956469581,0.4536513706059355,uncertain_or_near_balanced,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
CHE,Switzerland,1000,0.0033410155219402,0.0051210711039026,0.0075954776372175,0.0135208757458221,0.0219425832943324,0.0355609865094453,0.0078625174911507,0.016657120529468,0.0303230538982091,0.9497543291819388,0.9692897718984386,0.9811412660360528,0.4637632750719542,0.9930104217188296,2.0726675258169927,0.0174554061789616,0.0380265441409379,0.082823092010411,compute_importer_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
CHL,Chile,1000,0.0026389097739443,0.0043435788883392,0.0072221038623639,0.0059392349393159,0.0099731097792184,0.0162317119218528,0.0004333235649534,0.0055204793215972,0.0119471311051561,0.8753200734813259,0.940805979566753,0.971921637536655,0.221184306311503,0.4455609735016834,0.9518557723993648,0.0606301316689723,0.1263392578291193,0.2834300232336136,compute_importer_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
CHN,China,1000,0.0083169351974804,0.0149855178827507,0.025040747901391,0.0098513761454094,0.0157506373464135,0.0252928705619661,-0.0106002719072821,0.0007213849941456,0.0126329216309076,0.7857937017336267,0.8884834392069089,0.9420533651320884,0.3473258703753363,0.7243169081312519,1.4522838116299566,0.1671969740156959,0.3729334816907644,0.7980809985510804,uncertain_or_near_balanced,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
CIV,Cote d'Ivoire,1000,0.0005170888878206,0.0011434422216341,0.0024264261761258,0.0,0.0,0.0,-0.0024264261761258,-0.0011434422216341,-0.0005170888878206,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
CMR,Cameroon,1000,0.0005405705440673,0.0011571470453273,0.0024998193493188,0.0,0.0,0.0,-0.0024998193493188,-0.0011571470453273,-0.0005405705440673,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
COG,"Congo, Rep.",1000,0.0001076568451931,0.0002296930824727,0.0004889453107711,0.0,0.0,0.0,-0.0004889453107711,-0.0002296930824727,-0.0001076568451931,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
COL,Colombia,1000,0.0062162285284249,0.0097873601196585,0.0157303310903139,0.0,0.0,0.0,-0.0157303310903139,-0.0097873601196585,-0.0062162285284249,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
COM,Comoros,1000,8.778159583897715e-06,1.9513745139876665e-05,4.045619989848072e-05,0.0,0.0,0.0,-4.045619989848073e-05,-1.9513745139876665e-05,-8.778159583897718e-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
CPV,Cabo Verde,1000,1.7637379201437595e-05,4.009191951840112e-05,8.890907605786595e-05,0.0,0.0,0.0,-8.890907605786596e-05,-4.009191951840112e-05,-1.76373792014376e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
CRI,Costa Rica,1000,0.0002884677706171,0.0006123021104386,0.0013031275382912,0.0,0.0,0.0,-0.0013031275382912,-0.0006123021104386,-0.0002884677706171,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
CUW,Curacao,1000,8.018208693752153e-06,1.7215452494934287e-05,3.703189712876208e-05,0.0,0.0,0.0,-3.7031897128762085e-05,-1.7215452494934287e-05,-8.018208693752155e-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
CYM,Cayman Islands,1000,9.413233188044066e-06,2.119405234308542e-05,4.68508576691198e-05,0.0,0.0,0.0,-4.685085766911983e-05,-2.119405234308542e-05,-9.413233188044067e-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
CYP,Cyprus,1000,0.0002864464698074,0.0006315473326676,0.0014131890625773,0.0,0.0,0.0,-0.0014131890625773,-0.0006315473326676,-0.0002864464698074,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
CZE,Czechia,1000,0.0024993196178273,0.0039716221333793,0.0061481313151713,0.0,0.0,0.0,-0.0061481313151713,-0.0039716221333793,-0.0024993196178273,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
DEU,Germany,1000,0.0334750780758527,0.0465307203782457,0.0641802547073973,0.0152612163730615,0.0256372895259999,0.0433699138241656,-0.0403062362495583,-0.0205181057789936,0.0007185948266871,0.9004251036909918,0.9410170959456736,0.96529526841754,0.5361689246484483,1.1517836322235526,2.526891915394584,0.1656439578189445,0.3825380298487499,0.8417793922954677,uncertain_or_near_balanced,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
DJI,Djibouti,1000,3.187945445364112e-05,7.122278099265918e-05,0.0001476840986639,0.0,0.0,0.0,-0.0001476840986639,-7.122278099265918e-05,-3.1879454453641125e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
DNK,Denmark,1000,0.0008040771180754,0.0017883526797642,0.0037617853466079,0.0,0.0,0.0,-0.0037617853466079,-0.0017883526797642,-0.0008040771180754,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,token_exporter_candidate,"Monte Carlo uncertainty envelope for modeled token execution flows. The envelope samples public-demand proxy weights, compute-capacity priors, routing-cost weights, entropic-routing temperature, total electricity scaling and carbon-intensity multipliers. It is not an observed provider-routing confidence interval, not measured token OD, not measured electricity procurement, and it is not a reconstruction of private provider routing or measured facility load."
