baseline_rank,pathway_key,origin_iso3,origin_country,compute_iso3,compute_country,upstream_source_iso3,upstream_source_name,baseline_chain_fossil_exposure_twh_proxy,baseline_origin_to_compute_electricity_twh_proxy,baseline_origin_to_compute_direct_co2_mt_proxy,observed_combo_count,top10_count,top25_count,top50_count,median_rank,rank_p25,rank_p75,metric_p05,metric_p50,metric_p95,scenario_count,demand_source_count,combo_count,top10_frequency,top25_frequency,top50_frequency,rank_iqr,pathway_stability_class,claim_boundary,persistence_category,motif_class,source_block
11.0,IND>USA>CAN,IND,India,USA,United States,CAN,Canada,0.1765854481704409,0.3309909585017305,0.1272329244480651,17.0,6.0,10.0,12.0,12.0,3.0,61.0,0.0592501630213315,0.1697048358204254,0.3511351588607361,5.0,4.0,20.0,0.3,0.5,0.6,58.0,moderately_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",weak persistence,IND -> USA -> CAN,top_motif_rows
12.0,USA>USA>BRA,USA,United States,USA,United States,BRA,Brazil,0.1676942565107063,4.788788378176272,1.8408102525709584,20.0,2.0,9.0,14.0,32.0,17.75,66.0,0.0363565563566042,0.1095994030603798,0.2983750883005696,5.0,4.0,20.0,0.1,0.45,0.7,48.25,visible_but_rank_sensitive,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",weak persistence,USA -> USA -> BRA,top_motif_rows
13.0,USA>USA>COL,USA,United States,USA,United States,COL,Colombia,0.1637284763579119,4.788788378176272,1.8408102525709584,19.0,2.0,9.0,13.0,33.0,18.5,59.5,0.0424962090420062,0.1082623774466476,0.3040977134955639,5.0,4.0,20.0,0.1,0.45,0.65,41.0,visible_but_rank_sensitive,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",weak persistence,USA -> USA -> COL,top_motif_rows
14.0,CAN>USA>CAN,CAN,Canada,USA,United States,CAN,Canada,0.1602027433216923,0.3002832912679933,0.1154288971634166,20.0,2.0,11.0,17.0,24.5,15.75,43.5,0.0678694151366575,0.123528495082182,0.1988278864221998,5.0,4.0,20.0,0.1,0.55,0.85,27.75,moderately_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",moderate persistence,CAN -> USA -> CAN,top_motif_rows
15.0,USA>GBR>NOR,USA,United States,GBR,United Kingdom,NOR,Norway,0.1568863595357664,0.3997608912088093,0.0869120153577072,20.0,8.0,15.0,17.0,14.0,7.0,29.25,0.0459401263043715,0.1457175901307135,0.4665433102234329,5.0,4.0,20.0,0.4,0.75,0.85,22.25,highly_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",high persistence,USA -> GBR -> NOR,top_motif_rows
16.0,USA>FRA>USA,USA,United States,FRA,France,USA,United States,0.15660798137222,1.034234027588712,0.0428586581032762,18.0,6.0,12.0,15.0,16.5,9.0,38.25,0.0476754823350558,0.1360038133501021,0.3888200583562185,5.0,4.0,20.0,0.3,0.6,0.75,29.25,moderately_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",moderate persistence,USA -> FRA -> USA,top_motif_rows
17.0,USA>USA>IRQ,USA,United States,USA,United States,IRQ,Iraq,0.1563620895742167,4.788788378176272,1.8408102525709584,19.0,2.0,7.0,12.0,35.0,20.0,64.5,0.0405842416212635,0.1033914926492403,0.2904159067171952,5.0,4.0,20.0,0.1,0.35,0.6,44.5,visible_but_rank_sensitive,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",weak persistence,USA -> USA -> IRQ,top_motif_rows
18.0,USA>USA>VEN,USA,United States,USA,United States,VEN,Venezuela,0.1423554991643457,4.788788378176272,1.8408102525709584,19.0,1.0,6.0,12.0,45.0,24.5,75.5,0.0369487897605715,0.0941298980175331,0.2644010544919805,5.0,4.0,20.0,0.05,0.3,0.6,51.0,visible_but_rank_sensitive,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",weak persistence,USA -> USA -> VEN,top_motif_rows
19.0,IND>IND>AUS,IND,India,IND,India,AUS,Australia,0.1386865503801393,1.3401166840038023,0.8980523934514681,19.0,4.0,9.0,12.0,27.0,12.5,70.5,0.0351526446928798,0.1045317030802437,0.2887344668165724,5.0,4.0,20.0,0.2,0.45,0.6,58.0,visible_but_rank_sensitive,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",weak persistence,IND -> IND -> AUS,top_motif_rows
20.0,USA>MYS>IDN,USA,United States,MYS,Malaysia,IDN,Indonesia,0.1338956796917685,0.5221032307781179,0.3142904818315037,15.0,0.0,5.0,8.0,50.0,21.5,82.0,0.0337167799206558,0.080612032914505,0.267244416662215,4.0,4.0,20.0,0.0,0.25,0.4,60.5,scenario_sensitive_low_visibility,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",weak persistence,USA -> MYS -> IDN,top_motif_rows
21.0,USA>IRL>GBR,USA,United States,IRL,Ireland,GBR,United Kingdom,0.1327105169637378,0.277049849180691,0.0710743683088144,19.0,8.0,11.0,15.0,21.0,9.0,39.0,0.04428479492699,0.1364611311827438,0.4398914030705227,5.0,4.0,20.0,0.4,0.55,0.75,30.0,moderately_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",moderate persistence,USA -> IRL -> GBR,top_motif_rows
22.0,SGP>MYS>IDN,SGP,Singapore,MYS,Malaysia,IDN,Indonesia,0.1216099134745312,0.4741969932552161,0.2854523640298425,13.0,0.0,5.0,9.0,27.0,22.0,108.0,0.032301059985191,0.1143965423301754,0.2866070305515182,5.0,3.0,20.0,0.0,0.25,0.45,86.0,scenario_sensitive_low_visibility,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",weak persistence,SGP -> MYS -> IDN,top_motif_rows
23.0,PAK>ARE>IND,PAK,Pakistan,ARE,United Arab Emirates,IND,India,0.1215011066417394,0.2322130160453124,0.108561907131344,18.0,0.0,8.0,11.0,37.0,20.25,87.0,0.0445421101665948,0.0901401291713062,0.165066246072231,5.0,4.0,20.0,0.0,0.4,0.55,66.75,visible_but_rank_sensitive,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",weak persistence,PAK -> ARE -> IND,top_motif_rows
24.0,USA>FRA>NOR,USA,United States,FRA,France,NOR,Norway,0.1206770216677898,1.034234027588712,0.0428586581032762,18.0,0.0,8.0,12.0,31.0,13.25,59.0,0.0367371775330885,0.1048001192962421,0.2996121027548594,5.0,4.0,20.0,0.0,0.4,0.6,45.75,visible_but_rank_sensitive,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",weak persistence,USA -> FRA -> NOR,top_motif_rows
25.0,USA>NOR>NLD,USA,United States,NOR,Norway,NLD,Netherlands,0.1206315279189663,0.4996223878242915,0.0140443853217408,18.0,5.0,10.0,12.0,24.5,11.5,72.75,0.0368531908311693,0.1096704136604518,0.4102850392925889,5.0,4.0,20.0,0.25,0.5,0.6,61.25,moderately_persistent_top25,"Figure 7 pathway robustness evaluates scenario-derived pathway exposure indices only. Modeled token execution is not observed provider routing; electricity/CO2 values are proxy conversions; ResourceTrade links are fossil import-source exposure, not physical fuel procurement or final burn; pathway rank stability is robustness evidence for a model output, not validation of real AI supply chains.",weak persistence,USA -> NOR -> NLD,top_motif_rows
,,CAN,Canada,,,,,3.029710641318573,,,,,,,,,,,,,,,,,,,,,,,,fossil_source_aggregates
,,USA,United States,,,,,1.9466079891716852,,,,,,,,,,,,,,,,,,,,,,,,fossil_source_aggregates
,,IDN,Indonesia,,,,,1.0660336356157207,,,,,,,,,,,,,,,,,,,,,,,,fossil_source_aggregates
,,NOR,Norway,,,,,0.6967754951383046,,,,,,,,,,,,,,,,,,,,,,,,fossil_source_aggregates
,,IND,India,,,,,0.6700866179644686,,,,,,,,,,,,,,,,,,,,,,,,fossil_source_aggregates
,,AUS,Australia,,,,,0.5166392200150766,,,,,,,,,,,,,,,,,,,,,,,,fossil_source_aggregates
,,RUS,Russian Federation,,,,,0.5021658819107702,,,,,,,,,,,,,,,,,,,,,,,,fossil_source_aggregates
,,MEX,Mexico,,,,,0.3857431050432602,,,,,,,,,,,,,,,,,,,,,,,,fossil_source_aggregates
,,SAU,Saudi Arabia,,,,,0.3640836731906448,,,,,,,,,,,,,,,,,,,,,,,,fossil_source_aggregates
,,NLD,Netherlands,,,,,0.2895236702255127,,,,,,,,,,,,,,,,,,,,,,,,fossil_source_aggregates
